record_id,source_id,timestamp,title,uri,markdown_path
s01-substack-r000001,32829621,2021-02-22T22:50:09.437Z,Exploring how ADHD affects my life and company as I build out my startup.,https://engineeringgenerosity.substack.com/p/coming-soon,posts/2021-02-22-coming-soon.md
s01-substack-r000002,32830688,2021-02-22T23:48:48.495Z,How Does ADHD Affect A Company?,https://engineeringgenerosity.substack.com/p/how-does-adhd-affect-a-company,posts/2021-02-22-how-does-adhd-affect-a-company.md
s01-substack-r000003,32917512,2021-02-24T21:39:23.641Z,Next Topic Poll,https://engineeringgenerosity.substack.com/p/next-topic-poll,posts/2021-02-24-next-topic-poll.md
s01-substack-r000004,32953443,2021-02-26T15:33:13.043Z,Oversharing and Investors,https://engineeringgenerosity.substack.com/p/oversharing-and-investors,posts/2021-02-26-oversharing-and-investors.md
s01-substack-r000005,33385158,2021-03-14T15:57:31.602Z,"Decisions, Decisions, Decisions!",https://engineeringgenerosity.substack.com/p/decisions-decisions-decisions,posts/2021-03-14-decisions-decisions-decisions.md
s01-substack-r000006,33804543,2021-03-22T00:41:17.375Z,Complexity and ADHD,https://engineeringgenerosity.substack.com/p/complexity-and-adhd,posts/2021-03-22-complexity-and-adhd.md
s01-substack-r000007,34526972,2021-03-30T16:00:03.038Z,The Beauty of Iteration,https://engineeringgenerosity.substack.com/p/the-beauty-of-iteration,posts/2021-03-30-the-beauty-of-iteration.md
s01-substack-r000008,34972441,2021-04-09T21:39:05.604Z,Big News!,https://engineeringgenerosity.substack.com/p/big-news,posts/2021-04-09-big-news.md
s01-substack-r000009,35030374,2021-04-11T21:48:17.577Z,The Effects of Prolonged Masking,https://engineeringgenerosity.substack.com/p/the-effects-of-prolonged-masking,posts/2021-04-11-the-effects-of-prolonged-masking.md
s01-substack-r000010,37497152,2021-06-11T20:29:38.855Z,"Long Time, No See",https://engineeringgenerosity.substack.com/p/long-time-no-see,posts/2021-06-11-long-time-no-see.md
s01-substack-r000011,38096478,2021-06-27T18:34:30.004Z,The Power of Community,https://engineeringgenerosity.substack.com/p/the-power-of-community,posts/2021-06-27-the-power-of-community.md
s01-substack-r000012,38884243,2021-07-22T18:15:43.513Z,Procrastination and Shame,https://engineeringgenerosity.substack.com/p/procrastination-and-shame,posts/2021-07-22-procrastination-and-shame.md
s01-substack-r000013,52856764,2022-04-25T22:13:05.838Z,A New Direction -> ADHD Startup becomes the SaaS Factory,https://engineeringgenerosity.substack.com/p/a-new-direction-adhd-startup-becomes,posts/2022-04-25-a-new-direction-adhd-startup-becomes.md
s01-substack-r000014,52988343,2022-04-29T22:03:18.690Z,SaaS Product 1 - Feather CRM,https://engineeringgenerosity.substack.com/p/saas-product-1-feather-crm,posts/2022-04-29-saas-product-1-feather-crm.md
s01-substack-r000015,53466972,2022-05-04T20:55:23.066Z,Greetings From Miami!,https://engineeringgenerosity.substack.com/p/greetings-from-miami,posts/2022-05-04-greetings-from-miami.md
s01-substack-r000016,54026317,2022-05-08T18:36:36.806Z,Prepping to go live -> whoshouldIunfollow.com,https://engineeringgenerosity.substack.com/p/prepping-to-go-live-whoshouldiunfollowcom,posts/2022-05-08-prepping-to-go-live-whoshouldiunfollowcom.md
s01-substack-r000017,54467526,2022-05-14T14:16:08.719Z,Updating My Approach To Authentication,https://engineeringgenerosity.substack.com/p/updating-my-approach-to-authentication,posts/2022-05-14-updating-my-approach-to-authentication.md
s01-substack-r000018,55939574,2022-05-21T15:17:24.438Z,My New Role: Firefighter,https://engineeringgenerosity.substack.com/p/my-new-role-firefighter,posts/2022-05-21-my-new-role-firefighter.md
s01-substack-r000019,56126779,2022-05-23T00:00:50.328Z,Production Ready At Last,https://engineeringgenerosity.substack.com/p/production-ready-at-last,posts/2022-05-23-production-ready-at-last.md
s01-substack-r000020,56278200,2022-05-28T20:45:26.856Z,Getting Around Rate Limits,https://engineeringgenerosity.substack.com/p/getting-around-rate-limits,posts/2022-05-28-getting-around-rate-limits.md
s01-substack-r000021,58300715,2022-06-08T00:32:22.218Z,Enabling Payments and Other News,https://engineeringgenerosity.substack.com/p/enabling-payments-and-other-news,posts/2022-06-08-enabling-payments-and-other-news.md
s01-substack-r000022,59181509,2022-06-13T22:57:22.603Z,The Code Review - React + NextJS/BlitzJS SWR Hooks,https://engineeringgenerosity.substack.com/p/the-code-review-react-nextjsblitzjs,posts/2022-06-13-the-code-review-react-nextjsblitzjs.md
s01-substack-r000023,60025785,2022-06-18T15:30:15.419Z,Marketing 101 - Building Product Awareness,https://engineeringgenerosity.substack.com/p/marketing-101-building-product-awareness,posts/2022-06-18-marketing-101-building-product-awareness.md
s01-substack-r000024,60676848,2022-06-23T13:02:41.992Z,The Code Review: Data Models,https://engineeringgenerosity.substack.com/p/the-code-review-data-models,posts/2022-06-23-the-code-review-data-models.md
s01-substack-r000025,62547074,2022-07-08T23:55:20.249Z,"Change, Evolution, Announcements, and Updates",https://engineeringgenerosity.substack.com/p/change-evolution-announcements-and,posts/2022-07-08-change-evolution-announcements-and.md
s01-substack-r000026,64688154,2022-07-22T14:09:09.455Z,SaaS Factory Fortnightly Update: Beta Launch,https://engineeringgenerosity.substack.com/p/saas-factory-fortnightly-update-beta,posts/2022-07-22-saas-factory-fortnightly-update-beta.md
s01-substack-r000027,66323128,2022-08-01T14:21:26.799Z,SaaS Factory Update: Wins + Losses,https://engineeringgenerosity.substack.com/p/saas-factory-update-wins-losses,posts/2022-08-01-saas-factory-update-wins-losses.md
s01-substack-r000028,68489500,2022-08-13T16:09:50.096Z,"SaaS Factory - Revenue, Setbacks, and Launches, Oh My!",https://engineeringgenerosity.substack.com/p/saas-factory-revenue-setbacks-and,posts/2022-08-13-saas-factory-revenue-setbacks-and.md
s01-substack-r000029,68688237,2022-08-15T08:00:37.246Z,Launch Is Live!,https://engineeringgenerosity.substack.com/p/launch-is-live,posts/2022-08-15-launch-is-live.md
s01-substack-r000030,70596599,2022-08-27T17:25:08.249Z,SaaS Factory - Launch Recap + What's Next?,https://engineeringgenerosity.substack.com/p/saas-factory-launch-recap-whats-next,posts/2022-08-27-saas-factory-launch-recap-whats-next.md
s01-substack-r000031,72319122,2022-09-12T00:40:29.476Z,"SaaS Factory - Updates, Announcements, and How We Teach Machines",https://engineeringgenerosity.substack.com/p/saas-factory-updates-announcements,posts/2022-09-12-saas-factory-updates-announcements.md
s01-substack-r000032,74946618,2022-09-26T14:01:49.228Z,SaaS Factory: A Giant Screwup and Looking To The Past For Inspiration,https://engineeringgenerosity.substack.com/p/saas-factory-a-giant-screwup-and,posts/2022-09-26-saas-factory-a-giant-screwup-and.md
s01-substack-r000033,77416369,2022-10-12T13:01:00.270Z,SaaSFactory Update: The Content Factory,https://engineeringgenerosity.substack.com/p/saasfactory-update-the-content-factory,posts/2022-10-12-saasfactory-update-the-content-factory.md
